模块名称,MIXER
表格名称,Mixers
Part #,Eval / Ref Circuit,RF Primary Function,Freq Response RF (min) (Hz),Freq Response RF (max) (Hz),Freq Response LO (min) (Hz),Freq Response LO (max) (Hz),Freq Response IF (min) (Hz),Freq Response IF (max) (Hz),Conversion Gain (dB),IIP3 (typ) (dBm),US Price 100 to 499 ($ US),Package,Mixer Special Features,NF (typ) (dB),IP1dB (typ) (dBm),LO Drive Nominal (dBm),Image Rejection (typ) (dBc),LO/RF Isolation (typ) (dB),LO/IF Isolation (typ) (dB),Specified at Freq (Hz),Vs (typ) (V),Vs+ (min) (V),Vs+ (max) (V),Is (typ) (A),Automotive,OP1dB (typ) (dBm),RF Module,OIP3 (typ) (dBm),Sideband Suppression (typ) (dBc),Vs (typ),Is - mA (typ),Product Description,Status,Export Classification,Reliability Level,Temp Range,产品链接
ADL5353,Evaluation board,"Single, Double & Triple Balanced Mixers",2.2G,2.7G,2.23G,3.15G,30M,450M,9,24,,20 ld LFCSP 5x5x.75mm_w/3.1EP,,,,,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/zh/adl5353
ADL5365,Evaluation board,"Single, Double & Triple Balanced Mixers",1.2G,2.5G,1.23G,2.47G,0,450M,-7.3,36,,20 ld LFCSP 5x5x.75mm_w/3.1EP,,,,,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/zh/adl5365
ADRF6602,Evaluation board,Mixers with Integrated LO,1G,3.1G,1.55G,2.15G,0,500M,0,29.5,$11.96 (ADRF6602ACPZ-R7),40 ld LFCSP (6x6mm w/4.1mm pad),,,,,,,,,,,,,,,,,,,,,,,,,http://www.analog.com/zh/adrf6602
